PSC,Profile,Algorithm,eta_total (%),RMSE_total (W),MAE_total (W),RMSE_ss (W),MAE_ss (W),std_ss (W),Response time (s)
Hard,Linear 20 s,Spline-MPPT,68.1,80.08,63.75,90.44,76.41,48.384,n/a*
Hard,Linear 20 s,P&O,40.7,121.23,118.59,137.21,137.21,0.330,19.8
Hard,Linear 20 s,INC,40.1,122.45,119.72,138.74,138.74,0.000,19.7
Hard,Sigmoid b=0.5 s,Spline-MPPT,68.6,79.84,62.74,48.19,32.44,35.634,n/a*
Hard,Sigmoid b=0.5 s,P&O,37.8,126.98,124.43,137.20,137.20,0.328,4.7
Hard,Sigmoid b=0.5 s,INC,35.0,132.98,129.97,144.79,144.79,0.000,7.0
Hard,Sigmoid b=1 s,Spline-MPPT,68.7,79.78,62.67,80.90,48.84,64.485,n/a*
Hard,Sigmoid b=1 s,P&O,39.0,124.85,122.05,137.21,137.21,0.330,9.5
Hard,Sigmoid b=1 s,INC,35.7,132.03,128.57,146.71,146.71,0.000,10.9
Hard,Sigmoid b=2 s,Spline-MPPT,68.4,79.39,63.11,90.44,76.42,48.384,n/a*
Hard,Sigmoid b=2 s,P&O,40.7,121.69,118.59,137.21,137.21,0.330,18.9
Hard,Sigmoid b=2 s,INC,72.0,67.76,56.03,26.65,26.65,0.000,18.9
Hard,Sigmoid b=5 s,Spline-MPPT,69.4,78.95,61.21,86.73,64.48,58.013,n/a*
Hard,Sigmoid b=5 s,P&O,43.5,116.49,113.10,137.19,137.19,0.326,47.1
Hard,Sigmoid b=5 s,INC,67.7,75.55,64.63,26.65,26.65,0.000,42.2
Extreme,Step,Spline-MPPT,50.9,114.07,98.20,92.98,89.32,25.819,n/a*
Extreme,Step,P&O,19.2,163.14,161.47,170.97,170.97,0.079,0.0
Extreme,Step,INC,19.2,163.19,161.51,171.05,171.05,0.000,0.0
Extreme,Linear 5 s,Spline-MPPT,57.8,103.06,84.29,62.96,39.66,48.895,n/a*
Extreme,Linear 5 s,P&O,20.8,160.24,158.40,170.97,170.97,0.079,5.0
Extreme,Linear 5 s,INC,20.8,160.23,158.38,170.97,170.97,0.000,5.0
Extreme,Linear 10 s,Spline-MPPT,56.8,105.67,86.49,105.96,67.90,81.343,n/a*
Extreme,Linear 10 s,P&O,22.0,158.01,156.07,170.97,170.97,0.080,9.9
Extreme,Linear 10 s,INC,21.7,158.65,156.67,171.77,171.77,0.000,10.0
Extreme,Linear 20 s,Spline-MPPT,57.1,103.66,85.68,108.26,93.81,54.026,n/a*
Extreme,Linear 20 s,P&O,23.7,154.69,152.68,170.97,170.97,0.079,19.8
Extreme,Linear 20 s,INC,53.4,98.11,93.24,70.39,70.39,0.000,17.4
Extreme,Sigmoid b=0.5 s,Spline-MPPT,57.8,103.24,84.32,62.96,39.66,48.895,n/a*
Extreme,Sigmoid b=0.5 s,P&O,20.8,160.36,158.40,170.97,170.97,0.079,5.5
Extreme,Sigmoid b=0.5 s,INC,20.2,161.68,159.64,172.62,172.62,0.000,5.8
Extreme,Sigmoid b=1 s,Spline-MPPT,57.2,104.83,85.76,105.96,67.90,81.343,n/a*
Extreme,Sigmoid b=1 s,P&O,22.0,158.22,156.08,170.97,170.97,0.079,11.1
Extreme,Sigmoid b=1 s,INC,54.6,96.39,90.89,70.39,70.39,0.000,11.1
Extreme,Sigmoid b=2 s,Spline-MPPT,57.5,102.91,85.02,108.26,93.81,54.026,n/a*
Extreme,Sigmoid b=2 s,P&O,23.6,155.06,152.70,170.97,170.97,0.080,18.7
Extreme,Sigmoid b=2 s,INC,54.1,96.64,91.78,70.39,70.39,0.000,16.8
Extreme,Sigmoid b=5 s,Spline-MPPT,58.8,102.01,82.41,106.67,81.16,69.226,n/a*
Extreme,Sigmoid b=5 s,P&O,26.3,149.90,147.33,170.96,170.96,0.073,46.6
Extreme,Sigmoid b=5 s,INC,54.5,94.59,90.91,70.39,70.39,0.000,31.1
